,id,created_at_seconds,created_at_datetime,created_at_string,user_id,screen_name,name,bio,follower_count,klout_score,klout_profile,klout_id,klout_influence_topics,klout_interest_topics,text,tweet_type,user_entered_text,lang,poll_options,quote_or_rt_text,all_text,geo_coordinates,profile_location,tweet_links,most_unrolled_urls,user_mentions,hashtags,media_urls,quoted_tweet,retweeted_tweet,embedded_tweet,gnip_matching_rules,generator,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,favorite_count,quote_count,retweet_count
0,1399141048824123392,1622416195,2021-05-30 23:09:55,2021-05-30T23:09:55.000Z,514483406,ashmrkenyon,John Kenyon 🇹🇭🇬🇧🇹🇭🐶👍,"Teacher, currently working in Chiang Mai, northern Thailand 👍🇹🇭👍 Google Certified Educator, Level 1. Nerd. Helping soi dogs 🐶",981,,,,,,"@thismighthelpED We're just finishing ours in Chiang Mai. Back in school today (for how long, who knows...)",tweet,"@thismighthelpED We're just finishing ours in Chiang Mai. Back in school today (for how long, who knows...)",en,[],,"@thismighthelpED We're just finishing ours in Chiang Mai. Back in school today (for how long, who knows...)",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}",[],[],"[{'screen_name': 'thismighthelpED', 'name': '𝙆𝙚𝙣 𝙈𝙤𝙧𝙧𝙞𝙨𝙤𝙣', 'id': 7779482, 'id_str': '7779482', 'indices': [0, 16]}]",[],[],,,,[{'tag': None}],"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",thismighthelpED,7779482,1398981109774307328,1,0,0
1,1399082036061638659,1622402125,2021-05-30 19:15:25,2021-05-30T19:15:25.000Z,1298919980008960010,alonzodeluxe,alonzo resurrection era,i still hate people | asexual homoromantic,173,,,,,,still no friend in Chiang Mai but hey im a badass beach https://t.co/qXuVhnGhbP,tweet,still no friend in Chiang Mai but hey im a badass beach https://t.co/qXuVhnGhbP,en,[],,still no friend in Chiang Mai but hey im a badass beach https://t.co/qXuVhnGhbP,,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}",[],[],[],[],['https://pbs.twimg.com/ext_tw_video_thumb/1399081978670972931/pu/img/wE5xnibdPxDCPAFF.jpg'],,,,[{'tag': None}],"{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,,,3,0,0
2,1399049727744872453,1622394422,2021-05-30 17:07:02,2021-05-30T17:07:02.000Z,15448778,holeinthedonut,Barbara Weibel,Ran away from corporate life to be a travel writer & photographer Connecting the world through storytelling. 7 continents & 100+ countries so far.,27788,,,,,,"Railay Beach in Krabi, Thailand - A Great Escape from Smoke Season in Chiang Mai https://t.co/mD2RpqcdfP https://t.co/VXEb0Ve8bB",tweet,"Railay Beach in Krabi, Thailand - A Great Escape from Smoke Season in Chiang Mai https://t.co/mD2RpqcdfP https://t.co/VXEb0Ve8bB",en,[],,"Railay Beach in Krabi, Thailand - A Great Escape from Smoke Season in Chiang Mai https://t.co/mD2RpqcdfP https://t.co/VXEb0Ve8bB",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/mD2RpqcdfP', 'expanded_url': 'http://trbr.io/dgmL3JL', 'display_url': 'trbr.io/dgmL3JL', 'unwound': {'url': 'https://holeinthedonut.com/2021/05/29/railay-beach-in-krabi-thailand/', 'status': 200, 'title': 'Railay Beach in Krabi, Thailand- A Great Escape from Smoke Season in Chiang Mai', 'description': 'Railay Beach in Krabi Province is among the most stunning beaches in Thailand, and is the perfect place for island hopping tours'}, 'indices': [81, 104]}]",['https://holeinthedonut.com/2021/05/29/railay-beach-in-krabi-thailand/'],[],[],['https://pbs.twimg.com/media/E2psT9OWUAIRiLY.jpg'],,,,[{'tag': None}],"{'link': 'http://triberr.com', 'name': 'Triberr'}",,,,0,0,0
3,1399049361137545217,1622394335,2021-05-30 17:05:35,2021-05-30T17:05:35.000Z,1378663531248160769,MatzeG13,Matze G.,"Leben und am Leben lassen...
Nicht Reden...MACHEN !!!",560,,,,,,"@holgerkopp Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietn… https://t.co/EZZOEGufGD",tweet,"@holgerkopp Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland:88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, ausser Panikmache für eigene Zwecke?",de,[],,"@holgerkopp Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland:88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, ausser Panikmache für eigene Zwecke?",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/EZZOEGufGD', 'expanded_url': 'https://twitter.com/i/web/status/1399049361137545217', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",['https://twitter.com/i/web/status/1399049361137545217'],"[{'screen_name': 'holgerkopp', 'name': 'Holger Kopp', 'id': 1364321748418723843, 'id_str': '1364321748418723843', 'indices': [0, 11]}]",[],[],,,,[{'tag': None}],"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",holgerkopp,1364321748418723843,1399047815968477187,0,0,0
4,1399000857904095238,1622382771,2021-05-30 13:52:51,2021-05-30T13:52:51.000Z,19016254,iamgolf,iamgolf,CONSUMER INSIGHT SPECIALIST ❤,49,,,,,,ครัวคนอ้วน ๓๐.๐๕.๖๔ ยำเกี๊ยวกรอบ ที่ซื้อเกี๊ยวมาจากร้านตูบน้อย แต่ทิ้งไว้ข้ามวันข้ามคืนก็ยังกรอบอยู่ เพิ่มเติมเครื่… https://t.co/QqFjPncD3c,tweet,"ครัวคนอ้วน ๓๐.๐๕.๖๔ ยำเกี๊ยวกรอบ ที่ซื้อเกี๊ยวมาจากร้านตูบน้อย แต่ทิ้งไว้ข้ามวันข้ามคืนก็ยังกรอบอยู่ เพิ่มเติมเครื่องคือแน่นนนนน  💛❤💚 @ Chiang Mai, Thailand https://t.co/A10yGJ6WQy",th,[],,"ครัวคนอ้วน ๓๐.๐๕.๖๔ ยำเกี๊ยวกรอบ ที่ซื้อเกี๊ยวมาจากร้านตูบน้อย แต่ทิ้งไว้ข้ามวันข้ามคืนก็ยังกรอบอยู่ เพิ่มเติมเครื่องคือแน่นนนนน  💛❤💚 @ Chiang Mai, Thailand https://t.co/A10yGJ6WQy","{'latitude': 18.7903, 'longitude': 98.9817}","{'country': 'Thailand', 'country_code': 'TH', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Thailand', 'geo': {'coordinates': [99.0, 18.75], 'type': 'point'}}","[{'url': 'https://t.co/QqFjPncD3c', 'expanded_url': 'https://twitter.com/i/web/status/1399000857904095238', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",['https://twitter.com/i/web/status/1399000857904095238'],[],[],[],,,,[{'tag': None}],"{'link': 'http://instagram.com', 'name': 'Instagram'}",,,,0,0,0
5,1398984460511678464,1622378861,2021-05-30 12:47:41,2021-05-30T12:47:41.000Z,61828901,caramelman25,jakkrit udtima,,133,,,,,,"ก็คือตอนนี้เราเป็นแค่เพื่อนกัน?? @ Chiang Mai, Thailand https://t.co/ajBx7LedPy",tweet,"ก็คือตอนนี้เราเป็นแค่เพื่อนกัน?? @ Chiang Mai, Thailand https://t.co/ajBx7LedPy",th,[],,"ก็คือตอนนี้เราเป็นแค่เพื่อนกัน?? @ Chiang Mai, Thailand https://t.co/ajBx7LedPy","{'latitude': 18.7903, 'longitude': 98.9817}","{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/ajBx7LedPy', 'expanded_url': 'https://www.instagram.com/p/CPf2ViOH-vtS94eiS7PWxfVjssGcDqpstvaTP00/?utm_medium=twitter', 'display_url': 'instagram.com/p/CPf2ViOH-vtS…', 'unwound': {'url': 'https://www.instagram.com/champoo25/', 'status': 200, 'title': 'Love Me Like You Do ?? (@champoo25) • Instagram photos and videos', 'description': '1,044 Followers, 2,459 Following, 3,309 Posts - See Instagram photos and videos from Love Me Like You Do ?? (@champoo25)'}, 'indices': [56, 79]}]",['https://www.instagram.com/champoo25/'],[],[],[],,,,[{'tag': None}],"{'link': 'http://instagram.com', 'name': 'Instagram'}",,,,0,0,0
6,1398980863057072129,1622378004,2021-05-30 12:33:24,2021-05-30T12:33:24.000Z,203852004,iamrealcuno,หมีหัวหมุด®,TH • ชอบบรรยากาศชิลๆ • ครั้งนึงในชีวิตต้องไปดูแสงเหนือที่ไอซ์แลนด์ • #Lighthouse,450,,,,,,"I'm at Kad Suan Kaew in Mueang Chiang Mai, Chiang Mai https://t.co/302n6gQpf4",tweet,"I'm at Kad Suan Kaew in Mueang Chiang Mai, Chiang Mai https://t.co/302n6gQpf4",tl,[],,"I'm at Kad Suan Kaew in Mueang Chiang Mai, Chiang Mai https://t.co/302n6gQpf4","{'latitude': 18.79622528, 'longitude': 98.97571496}","{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/302n6gQpf4', 'expanded_url': 'https://www.swarmapp.com/c/9gPFZTi364v', 'display_url': 'swarmapp.com/c/9gPFZTi364v', 'unwound': {'url': 'https://www.swarmapp.com/c/9gPFZTi364v', 'status': 200, 'title': 'Panuwat | Kad Suan Kaew', 'description': 'Get out. Explore. Download Swarm and live your life more checked in.'}, 'indices': [54, 77]}]",['https://www.swarmapp.com/c/9gPFZTi364v'],[],[],[],,,,[{'tag': None}],"{'link': 'http://foursquare.com', 'name': 'Foursquare'}",,,,0,0,0
7,1398975685834665986,1622376769,2021-05-30 12:12:49,2021-05-30T12:12:49.000Z,1378663531248160769,MatzeG13,Matze G.,"Leben und am Leben lassen...
Nicht Reden...MACHEN !!!",560,,,,,,"@laszlohealth @MaryPop2701 @Karl_Lauterbach Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30.… https://t.co/EYFWsqNlEk",tweet,"@laszlohealth @MaryPop2701 @Karl_Lauterbach Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",de,[],,"@laszlohealth @MaryPop2701 @Karl_Lauterbach Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/EYFWsqNlEk', 'expanded_url': 'https://twitter.com/i/web/status/1398975685834665986', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",['https://twitter.com/i/web/status/1398975685834665986'],"[{'screen_name': 'laszlohealth', 'name': 'Laszlo🟢', 'id': 1314191509605027841, 'id_str': '1314191509605027841', 'indices': [0, 13]}, {'screen_name': 'MaryPop2701', 'name': 'Mary Poppins 💚', 'id': 884125481376907264, 'id_str': '884125481376907264', 'indices': [14, 26]}, {'screen_name': 'Karl_Lauterbach', 'name': 'Karl Lauterbach', 'id': 3292982985, 'id_str': '3292982985', 'indices': [27, 43]}]",[],[],,,,[{'tag': None}],"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",laszlohealth,1314191509605027841,1398935878882541575,3,0,0
8,1398973883051438089,1622376340,2021-05-30 12:05:40,2021-05-30T12:05:40.000Z,1378663531248160769,MatzeG13,Matze G.,"Leben und am Leben lassen...
Nicht Reden...MACHEN !!!",560,,,,,,"@TBreitschneider Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)… https://t.co/fyRrcR6XDq",tweet,"@TBreitschneider Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",de,[],,"@TBreitschneider Es wird immer verrückter alles, ein weiteres Bsp..
Todesfälle:Stand:30. Mai
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)
Wie kommt Karl L. nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/fyRrcR6XDq', 'expanded_url': 'https://twitter.com/i/web/status/1398973883051438089', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",['https://twitter.com/i/web/status/1398973883051438089'],"[{'screen_name': 'TBreitschneider', 'name': 'Tamara Breitschneider', 'id': 1102928046049423360, 'id_str': '1102928046049423360', 'indices': [0, 16]}]",[],[],,,,[{'tag': None}],"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",TBreitschneider,1102928046049423360,1398972546742206464,0,0,0
9,1398972842738274308,1622376092,2021-05-30 12:01:32,2021-05-30T12:01:32.000Z,1378663531248160769,MatzeG13,Matze G.,"Leben und am Leben lassen...
Nicht Reden...MACHEN !!!",560,,,,,,"@Karl_Lauterbach Todesfälle: Stand: 30. Mai...
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)… https://t.co/FHevvO7ZcS",tweet,"@Karl_Lauterbach Todesfälle: Stand: 30. Mai...
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)

Wie kommt man nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",de,[],,"@Karl_Lauterbach Todesfälle: Stand: 30. Mai...
Singapur: 32 (6 Mio.)
Vietnam: 47 (97 Mio.)
Thailand: 988 (70 Mio.)
Malaysia: 2650 ( 32 Mio.)
Deutschland: 88 413 (83 Mio.)

Wie kommt man nun auf die Idee, als Deutscher, deren Weg zu kritisieren???",,"{'country': 'Thailand', 'country_code': 'TH', 'locality': 'Chiang Mai', 'region': 'Chiang Mai', 'full_name': 'Chiang Mai, Chiang Mai, Thailand', 'geo': {'coordinates': [98.98468, 18.79038], 'type': 'point'}}","[{'url': 'https://t.co/FHevvO7ZcS', 'expanded_url': 'https://twitter.com/i/web/status/1398972842738274308', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",['https://twitter.com/i/web/status/1398972842738274308'],"[{'screen_name': 'Karl_Lauterbach', 'name': 'Karl Lauterbach', 'id': 3292982985, 'id_str': '3292982985', 'indices': [0, 16]}]",[],[],,,,[{'tag': None}],"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",Karl_Lauterbach,3292982985,1398591198814773248,0,0,0
